,patients,selected,metric,metric_ct,metric_pheno,rrms_to_nindc,selected_to_cohort,ct_evaluation,ct_evaluation_highlights
nkt_reg_uncertainty_v3_filter-17,31,63,0.31,0.491,0.631,5.3,0.172,,
nkt_reg_uncertainty_v3_filter-18,39,150,0.367,0.529,0.694,4.357,0.41,,
nkt_reg_uncertainty_v3_filter-19,37,134,0.434,0.586,0.739,3.786,0.366,,
nkt_reg_uncertainty_v3_filter-20,54,456,0.417,0.502,0.831,2.8,1.246,,
nkt_reg_uncertainty_v3_filter-21,31,73,0.343,0.561,0.612,5.636,0.199,,
nkt_reg_uncertainty_v3_filter-22,52,323,0.453,0.505,0.896,2.198,0.883,,
nkt_reg_uncertainty_v3_filter-23,26,52,0.288,0.63,0.457,9.4,0.142,,
nkt_reg_uncertainty_v3_filter-24,42,165,0.397,0.445,0.892,2.235,0.451,,
nkt_reg_uncertainty_v3_filter-25,27,55,0.372,0.621,0.598,5.875,0.15,,
nkt_reg_uncertainty_v3_filter-27,48,150,0.613,0.732,0.837,2.75,0.41,,
nkt_reg_uncertainty_v3_filter-28,46,162,0.331,0.385,0.861,2.522,0.443,,
nkt_reg_uncertainty_v3_filter-29,28,66,0.245,0.502,0.488,8.429,0.18,,
cd4_class_ps_revised_uncertainty_v3_filter-0,56,1531,0.18,0.183,0.981,1.388,0.174,mtl_cd4_class_ps_revised_uncertainty_v3_filter-0;cd4;0.978,mtl_cd4_class_ps_revised_uncertainty_v3_filter-0;cd4;0.978
b_class_ps_revised_uncertainty_v3_filter-1,50,228,0.474,0.601,0.79,0.31,0.101,,
nkt_class_ps_revised_uncertainty_v3_filter-1,59,1155,0.432,0.466,0.928,1.917,3.156,,
my_class_ps_revised_uncertainty_v3_filter-1,55,491,0.348,0.385,0.904,2.127,1.175,,
nk_class_ps_None_v2_filter-1,40,133,0.245,0.33,0.742,3.75,0.171,,
cd4_class_ps_None_v2_filter-1,56,462,0.391,0.43,0.909,2.08,0.052,,
cd4_class_ps_None_v2_filter-2,50,289,0.353,0.38,0.927,1.919,0.033,,
cd8_class_ps_None_v2_filter-0,52,386,0.498,0.565,0.882,2.328,0.097,,
b_class_ps_None_v2_filter-0,42,194,0.401,0.531,0.754,3.619,0.086,,
my_class_ps_None_v2_filter-1,56,574,0.416,0.47,0.885,2.299,1.373,,
nkt_class_ps_None_v2_filter-0,57,810,0.441,0.466,0.948,1.727,2.213,,
nkt_class_ps_None_v2_filter-1,47,199,0.446,0.593,0.753,3.628,0.544,,
cd4_class_ps_uncertainty_v3_filter-0,48,250,0.331,0.349,0.949,1.717,0.028,,
cd4_class_ps_uncertainty_v3_filter-1,38,106,0.295,0.423,0.699,4.3,0.012,,
cd4_class_ps_uncertainty_v3_filter-2,47,198,0.528,0.636,0.831,2.808,0.022,,
cd4_class_ps_uncertainty_v3_filter-4,34,96,0.453,0.598,0.758,3.571,0.011,,
cd4_class_ps_uncertainty_v3_filter-5,56,1867,0.214,0.216,0.992,1.241,0.212,mtl_cd4_class_ps_uncertainty_v3_filter-5;cd4;0.931,
cd4_class_ps_uncertainty_v3_filter-6,45,416,0.199,0.202,0.986,0.755,0.047,mtl_cd4_class_ps_uncertainty_v3_filter-6;cd4;0.986,mtl_cd4_class_ps_uncertainty_v3_filter-6;cd4;0.986
cd4_class_ps_uncertainty_v3_filter-7,59,4730,0.106,0.106,1.0,1.024,0.537,mtl_cd4_class_ps_uncertainty_v3_filter-7;cd4;0.985,mtl_cd4_class_ps_uncertainty_v3_filter-7;cd4;0.985
cd4_class_ps_uncertainty_v3_filter-8,37,123,0.31,0.393,0.788,3.241,0.014,,
cd4_class_ps_uncertainty_v3_filter-9,59,650,0.497,0.512,0.969,0.658,0.074,,
cd4_class_ps_uncertainty_v3_filter-10,55,1684,0.178,0.178,1.0,0.963,0.191,mtl_cd4_class_ps_uncertainty_v3_filter-10;cd4;0.98,mtl_cd4_class_ps_uncertainty_v3_filter-10;cd4;0.98
cd4_class_ps_uncertainty_v3_filter-11,58,1994,0.183,0.184,0.999,0.917,0.227,mtl_cd4_class_ps_uncertainty_v3_filter-11;cd4;0.966,
cd4_class_ps_uncertainty_v3_filter-12,55,1314,0.195,0.197,0.993,0.82,0.149,mtl_cd4_class_ps_uncertainty_v3_filter-12;cd4;0.968,
cd4_class_ps_uncertainty_v3_filter-13,36,157,0.244,0.253,0.964,0.635,0.018,mtl_cd4_class_ps_uncertainty_v3_filter-13;cd4;0.93,
cd4_class_ps_uncertainty_v3_filter-14,33,89,0.321,0.324,0.989,0.78,0.01,,
cd4_class_ps_uncertainty_v3_filter-15,39,109,0.467,0.579,0.808,3.037,0.012,,
cd4_class_ps_uncertainty_v3_filter-16,32,141,0.196,0.202,0.969,0.659,0.016,mtl_cd4_class_ps_uncertainty_v3_filter-16;cd4;0.993,mtl_cd4_class_ps_uncertainty_v3_filter-16;cd4;0.993
cd4_class_ps_uncertainty_v3_filter-19,45,250,0.244,0.249,0.98,1.404,0.028,mtl_cd4_class_ps_uncertainty_v3_filter-19;cd4;0.932,
cd4_class_ps_uncertainty_v3_filter-20,60,660,0.43,0.454,0.947,0.575,0.075,,
cd4_class_ps_uncertainty_v3_filter-22,31,71,0.484,0.525,0.923,0.511,0.008,,
cd4_class_ps_uncertainty_v3_filter-23,49,652,0.43,0.44,0.976,1.442,0.074,,
cd4_class_ps_uncertainty_v3_filter-24,50,692,0.248,0.248,1.0,1.006,0.079,mtl_cd4_class_ps_uncertainty_v3_filter-24;cd4;0.922,
cd4_class_ps_uncertainty_v3_filter-25,34,86,0.266,0.273,0.975,0.686,0.01,mtl_cd4_class_ps_uncertainty_v3_filter-25;cd4;0.907,
b_class_ps_uncertainty_v3_filter-1,54,467,0.387,0.422,0.917,2.013,0.207,,
b_class_ps_uncertainty_v3_filter-2,40,103,0.52,0.568,0.915,0.493,0.046,,
b_class_ps_uncertainty_v3_filter-3,61,780,0.24,0.243,0.988,0.773,0.346,mtl_b_class_ps_uncertainty_v3_filter-3;b;0.871,
b_class_ps_uncertainty_v3_filter-4,33,92,0.34,0.644,0.528,0.136,0.041,mtl_b_class_ps_uncertainty_v3_filter-4;dg;0.413,
b_class_ps_uncertainty_v3_filter-5,37,138,0.387,0.581,0.667,4.75,0.061,,
b_class_ps_uncertainty_v3_filter-6,32,76,0.244,0.503,0.485,8.5,0.034,,
b_class_ps_uncertainty_v3_filter-7,45,169,0.487,0.561,0.869,0.408,0.075,mtl_b_class_ps_uncertainty_v3_filter-7;nk;0.521,mtl_b_class_ps_uncertainty_v3_filter-7;nk;0.521
b_class_ps_uncertainty_v3_filter-8,59,670,0.616,0.628,0.98,0.718,0.297,,
b_class_ps_uncertainty_v3_filter-9,50,170,0.375,0.405,0.926,0.518,0.075,,
b_class_ps_uncertainty_v3_filter-10,45,156,0.447,0.526,0.849,0.381,0.069,,
b_class_ps_uncertainty_v3_filter-11,51,182,0.414,0.475,0.87,0.411,0.081,,
b_class_ps_uncertainty_v3_filter-12,57,2238,0.427,0.44,0.971,1.503,0.992,,
b_class_ps_uncertainty_v3_filter-13,44,160,0.251,0.262,0.959,1.623,0.071,mtl_b_class_ps_uncertainty_v3_filter-13;cd4;0.919,
b_class_ps_uncertainty_v3_filter-14,41,108,0.258,0.294,0.877,2.375,0.048,mtl_b_class_ps_uncertainty_v3_filter-14;cd4;0.88,
b_class_ps_uncertainty_v3_filter-15,43,211,0.426,0.6,0.71,4.146,0.094,,
b_class_ps_uncertainty_v3_filter-16,38,73,0.334,0.414,0.806,3.056,0.032,,
b_class_ps_uncertainty_v3_filter-17,49,231,0.262,0.325,0.806,3.053,0.102,mtl_b_class_ps_uncertainty_v3_filter-17;b;0.823,
b_class_ps_uncertainty_v3_filter-18,52,605,0.639,0.694,0.92,1.98,0.268,,
b_class_ps_uncertainty_v3_filter-19,56,501,0.677,0.708,0.956,0.606,0.222,,
b_class_ps_uncertainty_v3_filter-20,59,567,0.234,0.235,0.997,1.14,0.251,mtl_b_class_ps_uncertainty_v3_filter-20;b;0.899,
b_class_ps_uncertainty_v3_filter-21,57,354,0.617,0.674,0.915,0.494,0.157,,
b_class_ps_uncertainty_v3_filter-22,39,95,0.452,0.566,0.799,0.319,0.042,,
b_class_ps_uncertainty_v3_filter-23,61,1198,0.494,0.506,0.976,1.45,0.531,,
b_class_ps_uncertainty_v3_filter-24,45,98,0.549,0.752,0.73,0.256,0.043,,
b_class_ps_uncertainty_v3_filter-25,38,115,0.39,0.517,0.755,3.6,0.051,,
b_class_ps_uncertainty_v3_filter-26,41,129,0.581,0.633,0.918,2.0,0.057,,
b_class_ps_uncertainty_v3_filter-27,40,121,0.384,0.511,0.751,0.274,0.054,,
b_class_ps_uncertainty_v3_filter-28,47,159,0.525,0.558,0.941,0.559,0.071,,
b_class_ps_uncertainty_v3_filter-29,28,54,0.273,0.613,0.445,0.102,0.024,mtl_b_class_ps_uncertainty_v3_filter-29;dg;0.463,mtl_b_class_ps_uncertainty_v3_filter-29;dg;0.463
b_class_ps_uncertainty_v3_filter-30,39,111,0.501,0.681,0.736,0.261,0.049,,
b_class_ps_uncertainty_v3_filter-31,46,186,0.484,0.628,0.771,3.429,0.082,,
b_class_ps_uncertainty_v3_filter-32,38,114,0.599,0.647,0.927,0.52,0.051,,
b_class_ps_uncertainty_v3_filter-33,46,122,0.342,0.395,0.865,0.402,0.054,mtl_b_class_ps_uncertainty_v3_filter-33;b;0.746,
b_class_ps_uncertainty_v3_filter-34,47,151,0.62,0.659,0.941,0.557,0.067,,
nkt_class_ps_uncertainty_v3_filter-0,27,67,0.347,0.512,0.678,4.583,0.183,mtl_nkt_class_ps_uncertainty_v3_filter-0;nk;0.597,mtl_nkt_class_ps_uncertainty_v3_filter-0;nk;0.597
nkt_class_ps_uncertainty_v3_filter-1,58,698,0.255,0.264,0.969,1.52,1.907,mtl_nkt_class_ps_uncertainty_v3_filter-1;cd4;0.903,
nkt_class_ps_uncertainty_v3_filter-3,44,125,0.372,0.494,0.753,0.276,0.342,,
nkt_class_ps_uncertainty_v3_filter-4,53,530,0.429,0.488,0.879,2.354,1.448,,
nkt_class_ps_uncertainty_v3_filter-5,59,415,0.663,0.711,0.934,0.537,1.134,,
nkt_class_ps_uncertainty_v3_filter-6,47,455,0.599,0.664,0.903,2.138,1.243,mtl_nkt_class_ps_uncertainty_v3_filter-6;nk;0.367,
nkt_class_ps_uncertainty_v3_filter-7,54,384,0.313,0.327,0.956,0.607,1.049,mtl_nkt_class_ps_uncertainty_v3_filter-7;nkt;0.667,mtl_nkt_class_ps_uncertainty_v3_filter-7;nkt;0.667
nkt_class_ps_uncertainty_v3_filter-8,57,4947,0.25,0.253,0.988,1.299,13.516,,
nkt_class_ps_uncertainty_v3_filter-9,42,150,0.495,0.614,0.806,3.054,0.41,,
nkt_class_ps_uncertainty_v3_filter-10,49,293,0.518,0.684,0.757,3.578,0.801,,
nkt_class_ps_uncertainty_v3_filter-11,46,158,0.526,0.542,0.97,0.663,0.432,,
nkt_class_ps_uncertainty_v3_filter-12,46,214,0.5,0.526,0.95,1.709,0.585,,
nkt_class_ps_uncertainty_v3_filter-13,56,313,0.535,0.578,0.927,0.519,0.855,,
nkt_class_ps_uncertainty_v3_filter-14,40,148,0.377,0.528,0.714,0.244,0.404,,
nkt_class_ps_uncertainty_v3_filter-15,41,147,0.226,0.259,0.872,2.419,0.402,mtl_nkt_class_ps_uncertainty_v3_filter-15;b;0.912,
nkt_class_ps_uncertainty_v3_filter-16,43,133,0.505,0.615,0.82,2.912,0.363,,
nkt_class_ps_uncertainty_v3_filter-17,58,323,0.619,0.68,0.91,0.482,0.883,mtl_nkt_class_ps_uncertainty_v3_filter-17;nk;0.362,
nkt_class_ps_uncertainty_v3_filter-18,30,59,0.289,0.691,0.419,0.093,0.161,mtl_nkt_class_ps_uncertainty_v3_filter-18;my;0.373,
nkt_class_ps_uncertainty_v3_filter-19,43,151,0.489,0.618,0.792,0.313,0.413,,
nkt_class_ps_uncertainty_v3_filter-20,41,158,0.504,0.603,0.835,2.762,0.432,,
